Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Flagstaff, AZ Metropolitan Statistical Area",268
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",271
"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area",430
"Prescott Valley-Prescott, AZ Metropolitan Statistical Area",282
"Show Low, AZ Micropolitan Statistical Area",193
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",280
"Tucson, AZ Metropolitan Statistical Area",356
"Yuma, AZ Metropolitan Statistical Area",186
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
