Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Fayetteville-Springdale-Rogers, AR Metropolitan Statistical Area",166
"Fort Smith, AR-OK Metropolitan Statistical Area",134
"Jonesboro, AR Metropolitan Statistical Area",167
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",358
"Memphis, TN-MS-AR Metropolitan Statistical Area",924
"Texarkana, TX-AR Metropolitan Statistical Area",286
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
