Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Bakersfield, CA Metropolitan Statistical Area",323
"Chico, CA Metropolitan Statistical Area",167
"El Centro, CA Metropolitan Statistical Area",124
"Eureka-Arcata, CA Micropolitan Statistical Area",155
"Fresno, CA Metropolitan Statistical Area",304
"Hanford-Corcoran, CA Metropolitan Statistical Area",179
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",509
"Madera, CA Metropolitan Statistical Area",174
"Merced, CA Metropolitan Statistical Area",159
"Modesto, CA Metropolitan Statistical Area",205
"Napa, CA Metropolitan Statistical Area",195
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",204
"Redding, CA Metropolitan Statistical Area",170
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",347
"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area",264
"Salinas, CA Metropolitan Statistical Area",158
"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area",256
"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",233
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",215
"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",122
"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",126
"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",147
"Santa Rosa-Petaluma, CA Metropolitan Statistical Area",142
"Stockton, CA Metropolitan Statistical Area",277
"Vallejo, CA Metropolitan Statistical Area",312
"Visalia, CA Metropolitan Statistical Area",134
"Yuba City, CA Metropolitan Statistical Area",212
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
