Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Alexandria, LA Metropolitan Statistical Area",468
"Baton Rouge, LA Metropolitan Statistical Area",1184
"Hammond, LA Metropolitan Statistical Area",451
"Houma-Thibodaux, LA Metropolitan Statistical Area",382
"Lafayette, LA Metropolitan Statistical Area",1212
"Lake Charles, LA Metropolitan Statistical Area",372
"Monroe, LA Metropolitan Statistical Area",293
"New Orleans-Metairie, LA Metropolitan Statistical Area",654
"Shreveport-Bossier City, LA Metropolitan Statistical Area",597
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
