Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Billings, MT Metropolitan Statistical Area",127
"Bozeman, MT Micropolitan Statistical Area",124
"Kalispell, MT Micropolitan Statistical Area",110
"Missoula, MT Metropolitan Statistical Area",119
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
