Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Asheville, NC Metropolitan Statistical Area",167
"Burlington, NC Metropolitan Statistical Area",228
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",402
"Durham-Chapel Hill, NC Metropolitan Statistical Area",258
"Fayetteville, NC Metropolitan Statistical Area",401
"Goldsboro, NC Metropolitan Statistical Area",207
"Greensboro-High Point, NC Metropolitan Statistical Area",346
"Greenville, NC Metropolitan Statistical Area",345
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",117
"Jacksonville, NC Metropolitan Statistical Area",176
"Lumberton, NC Micropolitan Statistical Area",233
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",204
"New Bern, NC Metropolitan Statistical Area",161
"Pinehurst-Southern Pines, NC Micropolitan Statistical Area",493
"Raleigh-Cary, NC Metropolitan Statistical Area",307
"Rocky Mount, NC Metropolitan Statistical Area",332
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",320
"Wilmington, NC Metropolitan Statistical Area",155
"Winston-Salem, NC Metropolitan Statistical Area",223
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
