Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Blacksburg-Christiansburg, VA Metropolitan Statistical Area",100
"Bluefield, WV-VA Micropolitan Statistical Area",128
"Charlottesville, VA Metropolitan Statistical Area",134
"Danville, VA Micropolitan Statistical Area",424
"Harrisonburg, VA Metropolitan Statistical Area",122
"Kingsport-Bristol, TN-VA Metropolitan Statistical Area",108
"Lynchburg, VA Metropolitan Statistical Area",124
"Richmond, VA Metropolitan Statistical Area",296
"Roanoke, VA Metropolitan Statistical Area",136
"Staunton, VA Metropolitan Statistical Area",98
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",320
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",365
"Winchester, VA-WV Metropolitan Statistical Area",114
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
