Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Beckley, WV Metropolitan Statistical Area",162
"Bluefield, WV-VA Micropolitan Statistical Area",128
"Charleston, WV Metropolitan Statistical Area",200
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",222
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",179
"Morgantown, WV Metropolitan Statistical Area",253
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",365
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",191
"Wheeling, WV-OH Metropolitan Statistical Area",165
"Winchester, VA-WV Metropolitan Statistical Area",114
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
