Detailed Report Categories over Three Years,,,,
,,,,
Year,Category,SubCategory,# of Reports,Percentage
2020,Advance Payments for Credit Services,Advance-Fee Credit,"13,339",0.27%
2020,Advance Payments for Credit Services,Credit Card Loss Protection,219,0.00%
2020,Advance Payments for Credit Services,Credit Repair,"3,628",0.07%
2020,Advance Payments for Credit Services,Refund Scams,366,0.01%
2020,Auto Related,Auto Financing,"9,814",0.20%
2020,Auto Related,Auto Parts & Repairs,"33,796",0.67%
2020,Auto Related,Auto Renting & Leasing,"16,336",0.33%
2020,Auto Related,Auto Service & Warranties,"12,247",0.24%
2020,Auto Related,Gasoline,701,0.01%
2020,Auto Related,New Auto Sales,"42,513",0.85%
2020,Auto Related,Used Auto Sales,"38,304",0.76%
2020,Banks and Lenders,Auto Title Lending,"1,052",0.02%
2020,Banks and Lenders,Bank & Credit Union Lending,615,0.01%
2020,Banks and Lenders,"Banks, Credit Unions & S&Ls","72,774",1.45%
2020,Banks and Lenders,Finance Company Lending,"10,781",0.21%
2020,Banks and Lenders,Misc. Institution Lending,"18,522",0.37%
2020,Banks and Lenders,Mortgage Lending,"42,767",0.85%
2020,Banks and Lenders,Payday Loans,"6,547",0.13%
2020,Banks and Lenders,Student Loans,"37,818",0.75%
2020,Business and Job Opportunities,Business & Work-at-Home Opportunities,"19,969",0.40%
2020,Business and Job Opportunities,Franchises & Distributorships*,927,0.02%
2020,Business and Job Opportunities,Invention Promotion,"1,098",0.02%
2020,Business and Job Opportunities,Job Scams & Employment Agencies,"37,068",0.74%
2020,Business and Job Opportunities,Pyramids & Multi-Level Marketing,"4,084",0.08%
2020,Charitable Solicitations,Charitable Solicitations,"4,978",0.10%
2020,Computer Equipment and Software,Computer Equipment & Software,"23,885",0.48%
2020,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"317,901",6.33%
2020,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,"1,475",0.03%
2020,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,353,0.01%
2020,Credit Cards,Credit Cards,"76,310",1.52%
2020,Debt Collection,Creditor Debt Collection,"40,147",0.80%
2020,Debt Collection,Third Party Debt Collection,"88,639",1.77%
2020,Education,Colleges & Universities,"29,104",0.58%
2020,Education,Trade & Vocational Schools,"3,349",0.07%
2020,Foreign Money Offers and Fake Check Scams,Fake Check Scams,"36,671",0.73%
2020,Foreign Money Offers and Fake Check Scams,Foreign Money & Inheritance Scams,"2,487",0.05%
2020,Funeral Services,Funeral Services,"1,650",0.03%
2020,Grants,Non-Educational Grants,"3,533",0.07%
2020,Grants,Scholarships & Educational Grants,660,0.01%
2020,Health Care,Connected Wearable Devices*,137,0.00%
2020,Health Care,"Diet Products, Plans & Centers","37,023",0.74%
2020,Health Care,Eye Care*,"6,945",0.14%
2020,Health Care,Health Care Billing,"1,777",0.04%
2020,Health Care,Health Care: Dietary Supplements\Herbal Remedies§,"3,814",0.08%
2020,Health Care,Health Care: Drugs-OTC\Prescription§,"2,465",0.05%
2020,Health Care,Health Care: Other Medical Treatments*§,"13,115",0.26%
2020,Health Care,Health Care: Other Products\Supplies*§,"9,022",0.18%
2020,Health Care,Medical Insurance & Discount Plans,"6,711",0.13%
2020,Health Care,Medical Treatments & Cures‡,"17,265",0.34%
2020,Health Care,Misc. Medical*‡,"6,581",0.13%
2020,"Home Repair, Improvement and Products",Home Appliances,"4,346",0.09%
