Identity Theft Types by Age,,,,,,,,
,,,,,,,,
Theft Type,19 and Under,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 and Over
Bank Fraud,1779,"20,194",38144,34097,26575,19090,8462,2232
Credit Card Fraud,2090,"71,773",121654,90815,58099,29193,10812,2566
Employment or Tax-Related Fraud,16900,"19,203",19425,14676,11536,9409,5400,1646
Government Documents or Benefits Fraud,1192,"5,045",8940,7757,6871,4630,1859,640
Loan or Lease Fraud,744,31800,49243,31964,17562,7569,2282,451
Other Identity Theft,2153,"57,315",91033,61334,34414,15046,5127,1357
Phone or Utilities Fraud,615,15095,23001,15890,10107,5496,2051,540
,,,,,,,,
"Of the 1,108,609 total identity theft reports in 2022, 87% included consumer age information.",,,,,,,,
,,,,,,,,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",,,,,,,,
