Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Areas,Reports per 100K Population,# of Reports
1,"Tuscaloosa, AL Metropolitan Statistical Area","2,264","5,702"
2,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area","1,980","117,759"
3,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area","1,703","13,996"
4,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area","1,623","36,173"
5,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","1,619","98,616"
6,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","1,593","97,632"
7,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","1,547","39,619"
8,"Memphis, TN-MS-AR Metropolitan Statistical Area","1,521","20,424"
9,"Montgomery, AL Metropolitan Statistical Area","1,515","5,660"
10,"Jacksonville, FL Metropolitan Statistical Area","1,504","23,065"
11,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","1,501","47,325"
12,"Warner Robins, GA Metropolitan Statistical Area","1,440","2,632"
13,"Macon-Bibb County, GA Metropolitan Statistical Area","1,377","3,161"
14,"Richmond-Berea, KY Micropolitan Statistical Area","1,374","1,460"
15,"Lakeland-Winter Haven, FL Metropolitan Statistical Area","1,363","9,619"
16,"Sumter, SC Metropolitan Statistical Area","1,356","1,906"
17,"Columbus, GA-AL Metropolitan Statistical Area","1,350","4,316"
18,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","1,350","84,395"
19,"Sebastian-Vero Beach, FL Metropolitan Statistical Area","1,349","2,118"
20,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area","1,348","8,881"
21,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","1,346","37,704"
22,"Savannah, GA Metropolitan Statistical Area","1,342","5,236"
23,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","1,332","34,570"
24,"Columbia, SC Metropolitan Statistical Area","1,323","11,022"
25,"Killeen-Temple, TX Metropolitan Statistical Area","1,311","5,932"
26,"Punta Gorda, FL Metropolitan Statistical Area","1,306","2,428"
27,"Homosassa Springs, FL Metropolitan Statistical Area","1,298","1,920"
28,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area","1,294","7,684"
29,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","1,290","22,827"
30,"Port St. Lucie, FL Metropolitan Statistical Area","1,290","6,211"
31,"Ocala, FL Metropolitan Statistical Area","1,284","4,625"
32,"Fayetteville, NC Metropolitan Statistical Area","1,281","6,708"
33,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area","1,281","7,755"
34,"Dover, DE Metropolitan Statistical Area","1,281","2,294"
35,"Richmond, VA Metropolitan Statistical Area","1,280","16,413"
36,"Huntsville, AL Metropolitan Statistical Area","1,266","5,881"
37,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","1,253","93,393"
38,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","1,253","87,472"
39,"Charleston-North Charleston, SC Metropolitan Statistical Area","1,231","9,736"
40,"Tallahassee, FL Metropolitan Statistical Area","1,209","4,652"
41,"Birmingham-Hoover, AL Metropolitan Statistical Area","1,203","13,089"
42,"Clarksville, TN-KY Metropolitan Statistical Area","1,192","3,630"
43,"Raleigh-Cary, NC Metropolitan Statistical Area","1,191","16,234"
44,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","1,186","22,581"
45,"Cleveland-Elyria, OH Metropolitan Statistical Area","1,169","24,010"
46,"Alexandria, LA Metropolitan Statistical Area","1,159","1,770"
47,"The Villages, FL Metropolitan Statistical Area","1,154","1,499"
48,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","1,153","33,778"
49,"Gainesville, FL Metropolitan Statistical Area","1,151","3,768"
50,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area","1,147","5,523"
51,"St. Louis, MO-IL Metropolitan Statistical Area","1,146","32,168"
52,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area","1,139","8,619"
53,"Kankakee, IL Metropolitan Statistical Area","1,137","1,250"
54,"New Orleans-Metairie, LA Metropolitan Statistical Area","1,135","14,428"
55,"East Stroudsburg, PA Metropolitan Statistical Area","1,134","1,915"
56,"Colorado Springs, CO Metropolitan Statistical Area","1,130","8,314"
57,"Naples-Marco Island, FL Metropolitan Statistical Area","1,129","4,283"
58,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area","1,129","54,856"
59,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area","1,121","5,565"
60,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area","1,120","106,139"
61,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area","1,115","24,228"
62,"Prescott Valley-Prescott, AZ Metropolitan Statistical Area","1,114","2,590"
63,"Florence, SC Metropolitan Statistical Area","1,111","2,278"
64,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","1,101","47,544"
65,"California-Lexington Park, MD Metropolitan Statistical Area","1,099","1,244"
66,"Panama City, FL Metropolitan Statistical Area","1,095","1,971"
67,"Salisbury, MD-DE Metropolitan Statistical Area","1,091","4,486"
68,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","1,087","8,047"
69,"Fort Collins, CO Metropolitan Statistical Area","1,078","3,780"
70,"Pittsburgh, PA Metropolitan Statistical Area","1,071","24,896"
71,"Greenville-Anderson, SC Metropolitan Statistical Area","1,062","9,653"
72,"Greensboro-High Point, NC Metropolitan Statistical Area","1,062","8,149"
73,"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area","1,061","24,805"
74,"Kingston, NY Metropolitan Statistical Area","1,060","1,890"
75,"Wilmington, NC Metropolitan Statistical Area","1,054","3,093"
76,"Mobile, AL Metropolitan Statistical Area","1,052","4,526"
77,"Greenville, NC Metropolitan Statistical Area","1,050","1,890"
78,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area","1,050","2,924"
79,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","1,050","202,205"
80,"Vallejo, CA Metropolitan Statistical Area","1,049","4,664"
81,"Baton Rouge, LA Metropolitan Statistical Area","1,037","8,888"
82,"Boulder, CO Metropolitan Statistical Area","1,037","3,367"
83,"Trenton-Princeton, NJ Metropolitan Statistical Area","1,034","3,806"
84,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","1,029","40,415"
85,"St. George, UT Metropolitan Statistical Area","1,027","1,768"
86,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area","1,027","34,142"
87,"Ann Arbor, MI Metropolitan Statistical Area","1,026","3,778"
88,"Columbus, OH Metropolitan Statistical Area","1,024","21,512"
89,"Santa Fe, NM Metropolitan Statistical Area","1,019","1,532"
90,"Pueblo, CO Metropolitan Statistical Area","1,019","1,706"
91,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area","1,016","20,830"
92,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area","1,013","133,883"
93,"Spartanburg, SC Metropolitan Statistical Area","1,013","3,178"
94,"York-Hanover, PA Metropolitan Statistical Area","1,011","4,524"
95,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","1,007","24,896"
96,"LaGrange, GA-AL Micropolitan Statistical Area","1,007","1,042"
97,"Lafayette, LA Metropolitan Statistical Area","1,005","4,927"
98,"Sebring-Avon Park, FL Metropolitan Statistical Area","1,002","1,048"
99,"Jackson, MS Metropolitan Statistical Area","1,001","5,969"
100,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",998,"25,048"
101,"Danville, VA Micropolitan Statistical Area",994,"1,009"
102,"Anniston-Oxford, AL Metropolitan Statistical Area",993,"1,135"
103,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",993,"2,627"
104,"Durham-Chapel Hill, NC Metropolitan Statistical Area",988,"6,284"
105,"New Haven-Milford, CT Metropolitan Statistical Area",982,"8,407"
106,"Reno, NV Metropolitan Statistical Area",978,"4,582"
107,"Tucson, AZ Metropolitan Statistical Area",972,"10,093"
108,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",972,"2,779"
109,"Winston-Salem, NC Metropolitan Statistical Area",970,"6,513"
110,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",969,"2,045"
111,"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area",968,"2,755"
112,"Rockford, IL Metropolitan Statistical Area",967,"3,257"
113,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",963,"8,101"
114,"Milwaukee-Waukesha, WI Metropolitan Statistical Area",962,"15,162"
115,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",960,"45,227"
116,"Roanoke, VA Metropolitan Statistical Area",958,"3,002"
117,"Albany-Lebanon, OR Metropolitan Statistical Area",958,"1,219"
118,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",958,"2,091"
119,"Jacksonville, NC Metropolitan Statistical Area",956,"1,897"
120,"Anchorage, AK Metropolitan Statistical Area",954,"3,811"
121,"Asheville, NC Metropolitan Statistical Area",950,"4,366"
122,"Charlottesville, VA Metropolitan Statistical Area",948,"2,062"
123,"Akron, OH Metropolitan Statistical Area",947,"6,659"
124,"Knoxville, TN Metropolitan Statistical Area",946,"8,155"
125,"Albany, GA Metropolitan Statistical Area",944,"1,392"
126,"Flint, MI Metropolitan Statistical Area",942,"3,831"
127,"Shreveport-Bossier City, LA Metropolitan Statistical Area",942,"3,744"
128,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",939,"43,212"
129,"Barnstable Town, MA Metropolitan Statistical Area",939,"2,005"
130,"Portland-South Portland, ME Metropolitan Statistical Area",939,"5,035"
131,"Albuquerque, NM Metropolitan Statistical Area",938,"8,589"
132,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",937,"5,382"
133,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",935,"1,182"
134,"Johnson City, TN Metropolitan Statistical Area",927,"1,883"
135,"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area",923,"2,483"
136,"Eugene-Springfield, OR Metropolitan Statistical Area",917,"3,465"
137,"Williamsport, PA Metropolitan Statistical Area",915,"1,043"
138,"Chattanooga, TN-GA Metropolitan Statistical Area",915,"5,131"
139,"Fort Wayne, IN Metropolitan Statistical Area",913,"3,737"
140,"Hilton Head Island-Bluffton, SC Metropolitan Statistical Area",912,"1,999"
