State: Top Ten Report Categories,,,,,,,,
,,,,,,,,
State,Category,# of Reports,Percentage,,,,,
Alabama,"Credit Bureaus, Information Furnishers and Report Users","18,657",26%,,,,,
Alabama,Identity Theft,"17,763",25%,,,,,
Alabama,Imposter Scams,"6,132",9%,,,,,
Alabama,Online Shopping and Negative Reviews,"3,065",4%,,,,,
Alabama,Banks and Lenders,"3,019",4%,,,,,
Alabama,"Prizes, Sweepstakes and Lotteries","2,618",4%,,,,,
Alabama,Auto Related,"2,053",3%,,,,,
Alabama,Debt Collection,"1,739",2%,,,,,
Alabama,Internet Services,"1,205",2%,,,,,
Alabama,Health Care,1180,2%,,,,,
Alaska,Imposter Scams,1551,22%,,,,,
Alaska,Identity Theft,767,11%,,,,,
Alaska,Online Shopping and Negative Reviews,575,8%,,,,,
Alaska,"Prizes, Sweepstakes and Lotteries",420,6%,,,,,
Alaska,"Credit Bureaus, Information Furnishers and Report Users",405,6%,,,,,
Alaska,Banks and Lenders,388,6%,,,,,
Alaska,Internet Services,236,3%,,,,,
Alaska,Auto Related,208,3%,,,,,
Alaska,"Privacy, Data Security, and Cyber Threats",179,3%,,,,,
Alaska,Investment Related,164,2%,,,,,
Arizona,Identity Theft,"19,018",20%,,,,,
Arizona,Imposter Scams,"12,470",13%,,,,,
Arizona,"Credit Bureaus, Information Furnishers and Report Users","10,786",11%,,,,,
Arizona,Online Shopping and Negative Reviews,"5,786",6%,,,,,
Arizona,Banks and Lenders,"5,271",6%,,,,,
Arizona,"Prizes, Sweepstakes and Lotteries","3,391",4%,,,,,
Arizona,Auto Related,"3,363",4%,,,,,
Arizona,Health Care,"2,468",3%,,,,,
Arizona,"Home Repair, Improvement and Products","2,331",2%,,,,,
Arizona,Debt Collection,"2,210",2%,,,,,
Arkansas,Identity Theft,"5,186",18%,,,,,
Arkansas,"Credit Bureaus, Information Furnishers and Report Users","4,444",15%,,,,,
Arkansas,Imposter Scams,"3,955",14%,,,,,
Arkansas,Online Shopping and Negative Reviews,"1,842",6%,,,,,
Arkansas,Banks and Lenders,1679,6%,,,,,
Arkansas,"Prizes, Sweepstakes and Lotteries",1535,5%,,,,,
Arkansas,Auto Related,1209,4%,,,,,
Arkansas,Debt Collection,801,3%,,,,,
Arkansas,Telephone and Mobile Services,625,2%,,,,,
Arkansas,Internet Services,621,2%,,,,,
California,Identity Theft,"125,597",25%,,,,,
California,Imposter Scams,"65,449",13%,,,,,
California,"Credit Bureaus, Information Furnishers and Report Users","64,541",13%,,,,,
