Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Torrington, CT Micropolitan Statistical Area",897
"Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area",865
"New Haven-Milford, CT Metropolitan Statistical Area",982
"Worcester, MA-CT Metropolitan Statistical Area",812
"Norwich-New London, CT Metropolitan Statistical Area",838
"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",882
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
