Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Boise City, ID Metropolitan Statistical Area",827
"Coeur d'Alene, ID Metropolitan Statistical Area",877
"Idaho Falls, ID Metropolitan Statistical Area",659
"Logan, UT-ID Metropolitan Statistical Area",606
"Twin Falls, ID Metropolitan Statistical Area",570
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
