Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",860
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",889
"Terre Haute, IN Metropolitan Statistical Area",607
"Michigan City-La Porte, IN Metropolitan Statistical Area",720
"Elkhart-Goshen, IN Metropolitan Statistical Area",598
"Muncie, IN Metropolitan Statistical Area",660
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",1016
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",603
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",1120
"Bloomington, IN Metropolitan Statistical Area",658
"Evansville, IN-KY Metropolitan Statistical Area",721
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",710
"Fort Wayne, IN Metropolitan Statistical Area",913
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
