Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"St. Joseph, MO-KS Metropolitan Statistical Area",602
"Wichita, KS Metropolitan Statistical Area",807
"Topeka, KS Metropolitan Statistical Area",862
"Lawrence, KS Metropolitan Statistical Area",799
"Kansas City, MO-KS Metropolitan Statistical Area",909
"Manhattan, KS Metropolitan Statistical Area",793
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
