Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Manchester-Nashua, NH Metropolitan Statistical Area",905
"Concord, NH Micropolitan Statistical Area",790
"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",901
"Lebanon, NH-VT Micropolitan Statistical Area",780
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
