Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Gettysburg, PA Metropolitan Statistical Area",599
"York-Hanover, PA Metropolitan Statistical Area",1011
"Johnstown, PA Metropolitan Statistical Area",729
"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",635
"Lebanon, PA Metropolitan Statistical Area",682
"Erie, PA Metropolitan Statistical Area",775
"Pittsburgh, PA Metropolitan Statistical Area",1071
"State College, PA Metropolitan Statistical Area",699
"East Stroudsburg, PA Metropolitan Statistical Area",1134
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",787
"Altoona, PA Metropolitan Statistical Area",696
"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area",828
"Williamsport, PA Metropolitan Statistical Area",915
"Harrisburg-Carlisle, PA Metropolitan Statistical Area",937
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",1619
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",963
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",1050
"Pottsville, PA Micropolitan Statistical Area",787
"Reading, PA Metropolitan Statistical Area",836
"Lancaster, PA Metropolitan Statistical Area",661
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
