Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Arecibo, PR Metropolitan Statistical Area",154
"Aguadilla-Isabela, PR Metropolitan Statistical Area",148
"San Germán, PR Metropolitan Statistical Area",123
"San Juan-Bayamón-Caguas, PR Metropolitan Statistical Area",205
"Ponce, PR Metropolitan Statistical Area",153
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
