Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",1281
"Sumter, SC Metropolitan Statistical Area",1356
"Florence, SC Metropolitan Statistical Area",1111
"Greenville-Anderson, SC Metropolitan Statistical Area",1062
"Columbia, SC Metropolitan Statistical Area",1323
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",1332
"Charleston-North Charleston, SC Metropolitan Statistical Area",1231
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",1147
"Hilton Head Island-Bluffton, SC Metropolitan Statistical Area",912
"Spartanburg, SC Metropolitan Statistical Area",1013
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
