Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Charlottesville, VA Metropolitan Statistical Area",948
"Danville, VA Micropolitan Statistical Area",994
"Kingsport-Bristol, TN-VA Metropolitan Statistical Area",881
"Lynchburg, VA Metropolitan Statistical Area",831
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",1290
"Harrisonburg, VA Metropolitan Statistical Area",612
"Blacksburg-Christiansburg, VA Metropolitan Statistical Area",763
"Bluefield, WV-VA Micropolitan Statistical Area",672
"Staunton, VA Metropolitan Statistical Area",746
"Winchester, VA-WV Metropolitan Statistical Area",795
"Roanoke, VA Metropolitan Statistical Area",958
"Richmond, VA Metropolitan Statistical Area",1280
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",1350
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
