Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",610
"Winchester, VA-WV Metropolitan Statistical Area",795
"Bluefield, WV-VA Micropolitan Statistical Area",672
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",627
"Beckley, WV Metropolitan Statistical Area",714
"Morgantown, WV Metropolitan Statistical Area",727
"Charleston, WV Metropolitan Statistical Area",764
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",1350
"Wheeling, WV-OH Metropolitan Statistical Area",630
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",972
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
