Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Fond du Lac, WI Metropolitan Statistical Area",605
"Oshkosh-Neenah, WI Metropolitan Statistical Area",640
"Eau Claire, WI Metropolitan Statistical Area",667
"Janesville-Beloit, WI Metropolitan Statistical Area",708
"Milwaukee-Waukesha, WI Metropolitan Statistical Area",962
"Duluth, MN-WI Metropolitan Statistical Area",640
"Racine, WI Metropolitan Statistical Area",846
"Whitewater, WI Micropolitan Statistical Area",629
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",1120
"Green Bay, WI Metropolitan Statistical Area",622
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",699
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",862
"Wausau-Weston, WI Metropolitan Statistical Area",621
"Madison, WI Metropolitan Statistical Area",852
"Sheboygan, WI Metropolitan Statistical Area",598
"Appleton, WI Metropolitan Statistical Area",628
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
