Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"London, KY Micropolitan Statistical Area",94
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",118
"Owensboro, KY Metropolitan Statistical Area",102
"Richmond-Berea, KY Micropolitan Statistical Area",108
"Evansville, IN-KY Metropolitan Statistical Area",102
"Bowling Green, KY Metropolitan Statistical Area",120
"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",100
"Lexington-Fayette, KY Metropolitan Statistical Area",148
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",164
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",194
"Clarksville, TN-KY Metropolitan Statistical Area",265
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
