Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Providence-Warwick, RI-MA Metropolitan Statistical Area",237
"Springfield, MA Metropolitan Statistical Area",156
"Worcester, MA-CT Metropolitan Statistical Area",165
"Barnstable Town, MA Metropolitan Statistical Area",137
"Pittsfield, MA Metropolitan Statistical Area",141
"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",241
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
