Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",75
"Rochester, MN Metropolitan Statistical Area",113
"Grand Forks, ND-MN Metropolitan Statistical Area",95
"Duluth, MN-WI Metropolitan Statistical Area",98
"Mankato, MN Metropolitan Statistical Area",92
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",156
"St. Cloud, MN Metropolitan Statistical Area",82
"Fargo, ND-MN Metropolitan Statistical Area",132
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
