Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Meridian, MS Micropolitan Statistical Area",420
"Memphis, TN-MS-AR Metropolitan Statistical Area",513
"Hattiesburg, MS Metropolitan Statistical Area",280
"Gulfport-Biloxi, MS Metropolitan Statistical Area",228
"Jackson, MS Metropolitan Statistical Area",342
"Tupelo, MS Micropolitan Statistical Area",227
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
