Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Lincoln, NE Metropolitan Statistical Area",111
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",130
"Sioux City, IA-NE-SD Metropolitan Statistical Area",80
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
