Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"St. George, UT Metropolitan Statistical Area",213
"Logan, UT-ID Metropolitan Statistical Area",114
"Salt Lake City, UT Metropolitan Statistical Area",215
"Ogden-Clearfield, UT Metropolitan Statistical Area",156
"Provo-Orem, UT Metropolitan Statistical Area",150
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
