Data Contributors,,,
,,,
FTC,,,
Year,Data Contributor,# of Reports,%
2021,FTC - Web Reports (Fraud & Other),"809,422",13.22%
2021,FTC - Web Reports (IDT),"1,001,556",16.36%
2021,FTC - Mobile Reports (Fraud & Other),"675,392",11.03%
2021,FTC - Mobile Reports (IDT),"218,435",3.57%
2021,"FTC - ""877 FTC HELP"" (Fraud & Other)","199,356",3.26%
2021,"FTC - ""877 ID THEFT""","92,054",1.50%
2022,FTC - Web Reports (Fraud & Other),"694,072",13.10%
2022,FTC - Web Reports (IDT),"796,414",15.03%
2022,FTC - Mobile Reports (Fraud & Other),"622,565",11.75%
2022,FTC - Mobile Reports (IDT),"191,495",3.61%
2022,"FTC - ""877 FTC HELP"" (Fraud & Other)","155,805",2.94%
2022,"FTC - ""877 ID THEFT""","100,294",1.89%
2023,FTC - Web Reports (Fraud & Other),"703,192",13.04%
2023,FTC - Web Reports (IDT),"696,265",12.91%
2023,FTC - Mobile Reports (Fraud & Other),"635,935",11.79%
2023,FTC - Mobile Reports (IDT),"224,739",4.17%
2023,"FTC - ""877 FTC HELP"" (Fraud & Other)","137,011",2.54%
2023,"FTC - ""877 ID THEFT""","106,112",1.97%
,,,
Top Data Contributors,,,
Year,Data Contributor,# of Reports,%
2021,Consumer Financial Protection Bureau,"843,248",13.77%
2021,Better Business Bureau,"1,094,324",17.87%
2021,Australian Competition and Consumer Commission,"218,092",3.56%
2021,Internet Crime Complaint Center,"170,853",2.79%
2021,Publishers Clearing House,"81,235",1.33%
2022,Consumer Financial Protection Bureau,"811,849",15.32%
2022,Better Business Bureau,"992,137",18.72%
2022,Australian Competition and Consumer Commission,"178,719",3.37%
2022,Internet Crime Complaint Center,"145,104",2.74%
2022,Publishers Clearing House,"93,433",1.76%
2023,Consumer Financial Protection Bureau,"958,934",17.78%
2023,Better Business Bureau,"954,062",17.69%
2023,Australian Competition and Consumer Commission,"213,173",3.95%
2023,Internet Crime Complaint Center,"150,807",2.80%
2023,Publishers Clearing House,"108,468",2.01%
,,,
Other Data Contributors,,,
Year,Data Contributor,# of Reports,%
2021,AARP Fraud Watch Network,"11,859",0.19%
2021,U.S. Department of Education,"58,609",0.96%
2021,Social Security Administration,"181,036",2.96%
2021,Others,"22,109",0.36%
2021,MoneyGram International & Western Union Money Transfer,"45,659",0.75%
2021,Microsoft Corporation Cyber Crime Center,"61,925",1.01%
2021,U.S. Postal Inspection Service,"33,921",0.55%
2021,Scam Detector,"31,465",0.51%
2021,Task Force on Market Integrity and Consumer Fraud,"1,174",0.02%
