Identity Theft Reports by Type,,,
,,,
Theft Type,Theft Subtype,# of Reports,% Difference From Previous Year
Credit Card,New Accounts ,"381,122",-7%
Credit Card,Existing Accounts ,"44,855",14%
Loan or Lease,Apartment or House Rented,"13,201",17%
Loan or Lease,Auto Loan\Lease,"52,070",-14%
Loan or Lease,Business\Personal Loan,"81,342",7%
Loan or Lease,Federal Student Loan,"6,815",-43%
Loan or Lease,Non-Federal Student Loan,"10,921",-10%
Loan or Lease,Real Estate Loan,"7,551",-6%
Bank Account,"Debit Cards, Electronic Funds Transfer, or ACH","42,148",13%
Bank Account,Existing Accounts,"18,723",7%
Bank Account,New Accounts,"84,335",-24%
Government Documents or Benefits,Driver's License Issued\Forged,"8,977",14%
Government Documents or Benefits,Government Benefits Applied For\Received,"82,419",82%
Government Documents or Benefits,Other Government Documents Issued\Forged,"9,096",33%
Government Documents or Benefits,Passport Issued\Forged,"1,623",69%
Employment or Tax-Related,Employment or Wage-Related,"31,207",18%
Employment or Tax-Related,Tax,"60,970",-22%
Phone or Utilities,Landline Telephone – Existing Accounts,"1,125",-40%
Phone or Utilities,Landline Telephone – New Accounts,"4,578",-50%
Phone or Utilities,Mobile Telephone – Existing Accounts,"7,853",19%
Phone or Utilities,Mobile Telephone – New Accounts,"43,225",20%
Phone or Utilities,Utilities – Existing Accounts,"1,896",13%
Phone or Utilities,Utilities – New Accounts,"28,725",-6%
Other Identity Theft,Email or Social Media,"19,534",25%
Other Identity Theft,Evading the Law,"5,526",12%
Other Identity Theft,Insurance,"11,402",26%
Other Identity Theft,Medical Services,"13,683",-51%
Other Identity Theft,Online Shopping or Payment Account,"18,058",2%
Other Identity Theft,Other,"205,505",-22%
Other Identity Theft,Securities Accounts,"5,513",-14%
,,,
"Consumers can report multiple types of identity theft. In 2023, 15% of identity theft reports included more than one type of identity theft",,,
,,,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",,,
