Major Data Contributors,,,
,,,
Data Contributor,Data Contributor Type,# of Reports,%
"FTC - ""877 FTC HELP"" (Fraud & Other)",FTC,"137,011",2.54%
"FTC - ""877 ID THEFT""",FTC,"106,112",1.97%
FTC - Mobile Reports (Fraud & Other),FTC,"635,935",11.79%
FTC - Mobile Reports (IDT),FTC,"224,739",4.17%
FTC - Web Reports (Fraud & Other),FTC,"703,192",13.04%
FTC - Web Reports (IDT),FTC,"696,265",12.91%
Australian Competition and Consumer Commission,Other Data Contributors,"213,173",3.95%
Better Business Bureau,Other Data Contributors,"954,062",17.69%
Consumer Financial Protection Bureau,Other Data Contributors,"958,934",17.78%
Internet Crime Complaint Center,Other Data Contributors,"150,807",2.80%
Other Data Contributors,Other Data Contributors,"456,202",8.46%
State Law Enforcement Agencies,Other Data Contributors,"155,598",2.89%
,,,
"Percentages are based on the total number of 2023 Sentinel reports (5,392,028). Where appropriate, the type of report provided by the organization is indicated in parenthesis.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",,,
