Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
1,"Sebastian-Vero Beach, FL Metropolitan Statistical Area","2,268","3,583"
2,"Tuscaloosa, AL Metropolitan Statistical Area","2,124","5,646"
3,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area","1,988","119,800"
4,"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","1,775","108,394"
5,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area","1,711","38,180"
6,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","1,623","51,074"
7,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area","1,607","9,667"
8,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","1,602","42,170"
9,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area","1,555","12,812"
10,"Lakeland-Winter Haven, FL Metropolitan Statistical Area","1,546","11,027"
11,"Jacksonville, FL Metropolitan Statistical Area","1,535","24,286"
12,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","1,519","94,400"
13,"Savannah, GA Metropolitan Statistical Area","1,472","5,909"
14,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","1,459","110,069"
15,"Homosassa Springs, FL Metropolitan Statistical Area","1,452","2,205"
16,"Ocala, FL Metropolitan Statistical Area","1,440","5,332"
17,"Punta Gorda, FL Metropolitan Statistical Area","1,427","2,637"
18,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area","1,423","9,432"
19,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","1,421","37,299"
20,"Port St. Lucie, FL Metropolitan Statistical Area","1,417","6,843"
21,"Memphis, TN-MS-AR Metropolitan Statistical Area","1,402","18,725"
22,"Dover, DE Metropolitan Statistical Area","1,397","2,516"
23,"Columbia, SC Metropolitan Statistical Area","1,386","11,443"
24,"Fayetteville, NC Metropolitan Statistical Area","1,378","7,152"
25,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","1,375","39,005"
26,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","1,362","86,271"
27,"Montgomery, AL Metropolitan Statistical Area","1,361","5,236"
28,"Warner Robins, GA Metropolitan Statistical Area","1,344","2,541"
29,"Sumter, SC Metropolitan Statistical Area","1,310","1,796"
30,"Tallahassee, FL Metropolitan Statistical Area","1,302","4,983"
31,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area","1,300","62,238"
32,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","1,296","23,212"
33,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","1,295","91,270"
34,"Richmond, VA Metropolitan Statistical Area","1,294","16,858"
35,"Macon-Bibb County, GA Metropolitan Statistical Area","1,285","2,995"
36,"Killeen-Temple, TX Metropolitan Statistical Area","1,285","6,010"
37,"Columbus, GA-AL Metropolitan Statistical Area","1,268","4,128"
38,"Prescott Valley-Prescott, AZ Metropolitan Statistical Area","1,259","2,944"
39,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area","1,252","5,994"
40,"Birmingham-Hoover, AL Metropolitan Statistical Area","1,250","13,875"
41,"New Orleans-Metairie, LA Metropolitan Statistical Area","1,236","15,687"
42,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area","1,235","27,592"
43,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area","1,231","118,239"
44,"Charleston-North Charleston, SC Metropolitan Statistical Area","1,231","9,721"
45,"East Stroudsburg, PA Metropolitan Statistical Area","1,219","2,050"
46,"Shreveport-Bossier City, LA Metropolitan Statistical Area","1,219","4,816"
47,"Huntsville, AL Metropolitan Statistical Area","1,217","5,882"
48,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area","1,215","9,143"
49,"Raleigh-Cary, NC Metropolitan Statistical Area","1,212","16,862"
50,"Gainesville, FL Metropolitan Statistical Area","1,198","4,029"
51,"Alexandria, LA Metropolitan Statistical Area","1,195","1,824"
52,"St. Louis, MO-IL Metropolitan Statistical Area","1,192","33,572"
53,"Sebring-Avon Park, FL Metropolitan Statistical Area","1,188","1,202"
54,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area","1,177","7,155"
55,"Greensboro-High Point, NC Metropolitan Statistical Area","1,175","9,066"
56,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area","1,170","5,889"
57,"Sacramento-Roseville-Folsom, CA Metropolitan Statistical Area","1,165","27,724"
58,"The Villages, FL Metropolitan Statistical Area","1,164","1,482"
59,"Truckee-Grass Valley, CA Micropolitan Statistical Area","1,163","1,187"
60,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","1,162","22,795"
61,"Cleveland-Elyria, OH Metropolitan Statistical Area","1,154","24,062"
62,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","1,149","50,364"
63,"Panama City, FL Metropolitan Statistical Area","1,149","2,084"
64,"Clarksville, TN-KY Metropolitan Statistical Area","1,148","3,629"
65,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","1,147","33,678"
66,"Baton Rouge, LA Metropolitan Statistical Area","1,142","9,911"
67,"Tucson, AZ Metropolitan Statistical Area","1,140","11,804"
68,"Colorado Springs, CO Metropolitan Statistical Area","1,133","8,469"
69,"San Diego-Chula Vista-Carlsbad, CA Metropolitan Statistical Area","1,129","37,230"
70,"Vallejo, CA Metropolitan Statistical Area","1,123","5,071"
71,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area","1,122","2,371"
72,"Pittsburgh, PA Metropolitan Statistical Area","1,120","26,506"
73,"Greenville-Anderson, SC Metropolitan Statistical Area","1,112","10,213"
74,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","1,109","221,933"
75,"Naples-Marco Island, FL Metropolitan Statistical Area","1,103","4,112"
76,"Roanoke, VA Metropolitan Statistical Area","1,103","3,468"
77,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area","1,101","145,347"
