State Rankings: Identity Theft Reports,,,
,,,
Rank,State,Reports per 100K Population,# of Reports
1,Georgia,457,"48,606"
2,Florida,438,"93,547"
3,Nevada,404,"12,362"
4,Connecticut,384,"13,848"
5,Delaware,359,"3,523"
6,Massachusetts,351,"24,540"
7,Texas,350,"101,002"
8,Pennsylvania,314,"40,778"
9,Illinois,307,"39,314"
10,California,304,"119,929"
11,Maryland,298,"18,327"
12,Ohio,294,"34,616"
13,South Carolina,294,"14,931"
14,New Jersey,283,"26,136"
15,Louisiana,275,"12,816"
16,Arizona,262,"18,539"
17,New York,256,"51,484"
18,Alabama,245,"12,228"
19,North Carolina,243,"25,142"
20,Michigan,235,"23,621"
21,Mississippi,225,"6,663"
22,Virginia,224,"19,211"
23,Colorado,222,"12,729"
24,Rhode Island,216,"2,357"
25,Tennessee,185,"12,709"
26,Oregon,177,"7,444"
27,Indiana,176,"11,870"
28,Arkansas,169,"5,071"
29,Utah,165,"5,345"
30,Washington,165,"12,582"
31,Missouri,161,"9,873"
32,Oklahoma,153,"6,032"
33,Kansas,150,"4,405"
34,Minnesota,142,"8,063"
35,Wisconsin,141,"8,301"
36,Iowa,141,"4,468"
37,New Hampshire,138,"1,892"
38,Nebraska,137,"2,673"
39,New Mexico,134,"2,825"
40,Maine,126,"1,714"
41,Montana,126,"1,354"
42,Idaho,123,"2,223"
43,Hawaii,122,"1,773"
44,Kentucky,119,"5,340"
45,North Dakota,118,913
46,Alaska,114,839
47,West Virginia,110,"1,977"
48,Wyoming,106,609
49,Vermont,97,620
50,South Dakota,94,833
,District of Columbia,478,"3,268"
,Puerto Rico,51,"1,690"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2021 U.S. Census population estimates.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",,,
