Top Three Identity Theft Reports by Year,,
,,
Theft Type,Year,# of Reports
2019,Bank Account,"58,831"
2020,Bank Account,"89,687"
2021,Bank Account,"124,540"
2022,Bank Account,"156,148"
2023,Bank Account,"136,778"
2019,Credit Card,"271,706"
2020,Credit Card,"393,442"
2021,Credit Card,"389,790"
2022,Credit Card,"440,692"
2023,Credit Card,"416,582"
2019,Loan or Lease,"104,759"
2020,Loan or Lease,"205,090"
2021,Loan or Lease,"197,982"
2022,Loan or Lease,"153,593"
2023,Loan or Lease,"149,771"
,,
,,
The top identity theft types can vary by year. This table shows the top three types of identity theft reported in 2023 and how those types changed over five years.,,
,,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",,
