Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Ames, IA Metropolitan Statistical Area",708
"Cedar Rapids, IA Metropolitan Statistical Area","1,726"
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area","2,704"
"Des Moines-West Des Moines, IA Metropolitan Statistical Area","5,388"
"Iowa City, IA Metropolitan Statistical Area","1,155"
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area","9,306"
"Sioux City, IA-NE-SD Metropolitan Statistical Area",692
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area","1,053"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures. Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
