Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Bowling Green, KY Metropolitan Statistical Area","1,193"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area","20,562"
"Clarksville, TN-KY Metropolitan Statistical Area","3,629"
"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area","1,263"
"Evansville, IN-KY Metropolitan Statistical Area","2,254"
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area","2,244"
"Lexington-Fayette, KY Metropolitan Statistical Area","4,441"
"London, KY Micropolitan Statistical Area",830
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","11,980"
"Owensboro, KY Metropolitan Statistical Area",701
"Richmond-Berea, KY Micropolitan Statistical Area",769
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures. Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
