Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","39,005"
"California-Lexington Park, MD Metropolitan Statistical Area",967
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area","2,984"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","94,400"
"Salisbury, MD-DE Metropolitan Statistical Area","4,364"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","86,271"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures. Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
