Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Billings, MT Metropolitan Statistical Area","1,527"
"Bozeman, MT Micropolitan Statistical Area",920
"Kalispell, MT Micropolitan Statistical Area",896
"Missoula, MT Metropolitan Statistical Area","1,040"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures. Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
