Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area","8,991"
"Binghamton, NY Metropolitan Statistical Area","2,020"
"Buffalo-Cheektowaga, NY Metropolitan Statistical Area","10,170"
"Glens Falls, NY Metropolitan Statistical Area",906
"Ithaca, NY Metropolitan Statistical Area","1,054"
"Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",885
"Kingston, NY Metropolitan Statistical Area","1,763"
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","221,933"
"Ogdensburg-Massena, NY Micropolitan Statistical Area",703
"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area","6,745"
"Rochester, NY Metropolitan Statistical Area","9,915"
"Syracuse, NY Metropolitan Statistical Area","5,525"
"Utica-Rome, NY Metropolitan Statistical Area","2,077"
"Watertown-Fort Drum, NY Metropolitan Statistical Area",920
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures. Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
