Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Bismarck, ND Metropolitan Statistical Area",674
"Fargo, ND-MN Metropolitan Statistical Area","1,889"
"Grand Forks, ND-MN Metropolitan Statistical Area",586
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures. Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
