Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Akron, OH Metropolitan Statistical Area","6,765"
"Canton-Massillon, OH Metropolitan Statistical Area","3,370"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area","20,562"
"Cleveland-Elyria, OH Metropolitan Statistical Area","24,062"
"Columbus, OH Metropolitan Statistical Area","22,544"
"Dayton-Kettering, OH Metropolitan Statistical Area","7,338"
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area","2,244"
"Lima, OH Metropolitan Statistical Area",686
"Mansfield, OH Metropolitan Statistical Area",837
"Salem, OH Micropolitan Statistical Area",670
"Springfield, OH Metropolitan Statistical Area","1,017"
"Toledo, OH Metropolitan Statistical Area","5,370"
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",789
"Wheeling, WV-OH Metropolitan Statistical Area",921
"Wooster, OH Micropolitan Statistical Area",732
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area","4,423"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures. Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
