Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Rapid City, SD Metropolitan Statistical Area","1,151"
"Sioux City, IA-NE-SD Metropolitan Statistical Area",692
"Sioux Falls, SD Metropolitan Statistical Area","1,814"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures. Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
