Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Bloomington, IL Metropolitan Statistical Area",348
"Carbondale-Marion, IL Metropolitan Statistical Area",264
"Champaign-Urbana, IL Metropolitan Statistical Area",519
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area","33,634"
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",588
"Decatur, IL Metropolitan Statistical Area",220
"Kankakee, IL Metropolitan Statistical Area",314
"Ottawa, IL Micropolitan Statistical Area",235
"Peoria, IL Metropolitan Statistical Area",698
"Rockford, IL Metropolitan Statistical Area",823
"Springfield, IL Metropolitan Statistical Area",439
"St. Louis, MO-IL Metropolitan Statistical Area","6,410"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
