Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Ames, IA Metropolitan Statistical Area",211
"Cedar Rapids, IA Metropolitan Statistical Area",414
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",588
"Des Moines-West Des Moines, IA Metropolitan Statistical Area","1,537"
"Iowa City, IA Metropolitan Statistical Area",271
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area","1,638"
"Sioux City, IA-NE-SD Metropolitan Statistical Area",145
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",214
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
