Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Ann Arbor, MI Metropolitan Statistical Area",974
"Battle Creek, MI Metropolitan Statistical Area",189
"Bay City, MI Metropolitan Statistical Area",113
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","14,568"
"Flint, MI Metropolitan Statistical Area",949
"Grand Rapids-Kentwood, MI Metropolitan Statistical Area","1,938"
"Holland, MI Micropolitan Statistical Area",118
"Jackson, MI Metropolitan Statistical Area",251
"Kalamazoo-Portage, MI Metropolitan Statistical Area",549
"Lansing-East Lansing, MI Metropolitan Statistical Area",996
"Monroe, MI Metropolitan Statistical Area",234
"Muskegon, MI Metropolitan Statistical Area",239
"Niles, MI Metropolitan Statistical Area",242
"Saginaw, MI Metropolitan Statistical Area",296
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",441
"Traverse City, MI Micropolitan Statistical Area",219
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
