Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Columbia, MO Metropolitan Statistical Area",257
"Jefferson City, MO Metropolitan Statistical Area",157
"Joplin, MO Metropolitan Statistical Area",176
"Kansas City, MO-KS Metropolitan Statistical Area","4,062"
"Springfield, MO Metropolitan Statistical Area",550
"St. Joseph, MO-KS Metropolitan Statistical Area",137
"St. Louis, MO-IL Metropolitan Statistical Area","6,410"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
