Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Albuquerque, NM Metropolitan Statistical Area","1,382"
"Farmington, NM Metropolitan Statistical Area",110
"Las Cruces, NM Metropolitan Statistical Area",385
"Santa Fe, NM Metropolitan Statistical Area",187
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
