Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area","1,410"
"Binghamton, NY Metropolitan Statistical Area",292
"Buffalo-Cheektowaga, NY Metropolitan Statistical Area","1,788"
"Glens Falls, NY Metropolitan Statistical Area",124
"Ithaca, NY Metropolitan Statistical Area",148
"Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",194
"Kingston, NY Metropolitan Statistical Area",317
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","60,047"
"Ogdensburg-Massena, NY Micropolitan Statistical Area",105
"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area","1,776"
"Rochester, NY Metropolitan Statistical Area","2,053"
"Syracuse, NY Metropolitan Statistical Area","1,170"
"Utica-Rome, NY Metropolitan Statistical Area",323
"Watertown-Fort Drum, NY Metropolitan Statistical Area",141
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
