Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","2,677"
"Altoona, PA Metropolitan Statistical Area",167
"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",185
"East Stroudsburg, PA Metropolitan Statistical Area",575
"Erie, PA Metropolitan Statistical Area",482
"Gettysburg, PA Metropolitan Statistical Area",115
"Harrisburg-Carlisle, PA Metropolitan Statistical Area","1,136"
"Johnstown, PA Metropolitan Statistical Area",168
"Lancaster, PA Metropolitan Statistical Area","1,090"
"Lebanon, PA Metropolitan Statistical Area",238
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","60,047"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","29,038"
"Pittsburgh, PA Metropolitan Statistical Area","5,266"
"Pottsville, PA Micropolitan Statistical Area",258
"Reading, PA Metropolitan Statistical Area","1,255"
"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area","1,381"
"State College, PA Metropolitan Statistical Area",217
"Williamsport, PA Metropolitan Statistical Area",153
"York-Hanover, PA Metropolitan Statistical Area","1,161"
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area","1,259"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
