Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area","1,762"
"Charleston-North Charleston, SC Metropolitan Statistical Area","2,809"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","9,927"
"Columbia, SC Metropolitan Statistical Area","2,925"
"Florence, SC Metropolitan Statistical Area",740
"Greenville-Anderson, SC Metropolitan Statistical Area","2,704"
"Hilton Head Island-Bluffton, SC Metropolitan Statistical Area",412
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",900
"Spartanburg, SC Metropolitan Statistical Area",808
"Sumter, SC Metropolitan Statistical Area",406
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
