Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Chattanooga, TN-GA Metropolitan Statistical Area",848
"Clarksville, TN-KY Metropolitan Statistical Area",682
"Cleveland, TN Metropolitan Statistical Area",146
"Cookeville, TN Micropolitan Statistical Area",96
"Jackson, TN Metropolitan Statistical Area",237
"Johnson City, TN Metropolitan Statistical Area",223
"Kingsport-Bristol, TN-VA Metropolitan Statistical Area",311
"Knoxville, TN Metropolitan Statistical Area","1,266"
"Memphis, TN-MS-AR Metropolitan Statistical Area","4,912"
"Morristown, TN Metropolitan Statistical Area",142
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","3,899"
"Tullahoma-Manchester, TN Micropolitan Statistical Area",112
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
