Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Abilene, TX Metropolitan Statistical Area",384
"Amarillo, TX Metropolitan Statistical Area",361
"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area","6,697"
"Beaumont-Port Arthur, TX Metropolitan Statistical Area","1,347"
"Brownsville-Harlingen, TX Metropolitan Statistical Area",923
"College Station-Bryan, TX Metropolitan Statistical Area",594
"Corpus Christi, TX Metropolitan Statistical Area",696
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","33,078"
"El Paso, TX Metropolitan Statistical Area","2,069"
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","34,414"
"Killeen-Temple, TX Metropolitan Statistical Area","1,997"
"Laredo, TX Metropolitan Statistical Area",375
"Longview, TX Metropolitan Statistical Area",527
"Lubbock, TX Metropolitan Statistical Area",549
"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area","1,549"
"Midland, TX Metropolitan Statistical Area",372
"Odessa, TX Metropolitan Statistical Area",409
"San Angelo, TX Metropolitan Statistical Area",304
"San Antonio-New Braunfels, TX Metropolitan Statistical Area","6,875"
"Sherman-Denison, TX Metropolitan Statistical Area",264
"Texarkana, TX-AR Metropolitan Statistical Area",363
"Tyler, TX Metropolitan Statistical Area",551
"Waco, TX Metropolitan Statistical Area",508
"Wichita Falls, TX Metropolitan Statistical Area",368
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
