Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Areas,# of Reports
"Bellingham, WA Metropolitan Statistical Area",326
"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area",433
"Kennewick-Richland, WA Metropolitan Statistical Area",403
"Longview, WA Metropolitan Statistical Area",111
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",152
"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area",467
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","4,851"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","7,578"
"Spokane-Spokane Valley, WA Metropolitan Statistical Area",921
"Wenatchee, WA Metropolitan Statistical Area",149
"Yakima, WA Metropolitan Statistical Area",265
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2021 U.S. Census figures.",
,
"Source: Consumer Sentinel Network Data Book 2023, Federal Trade Commission",
